"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"P2";"JST_XH_S04B-XH-A_04x2.50mm_Angled";1;"CAN";;;
2;"G***";"LOGO";1;"LOGO";;;
3;"D1";"LED_0805_2012Metric";1;"LED-RED";;;
4;"D2";"LED_0805_2012Metric";1;"LED-GREEN";;;
5;"U4";"SOT-353_SC-70-5_Handsoldering";1;"74LVC1G66";;;
6;"U3";"SOT-223";1;"LD1117S33TR";;;
7;"P3";"USB_Micro-B_Molex_47346-0001";1;"USB";;;
8;"U1";"LQFP-48_7x7mm_Pitch0.5mm";1;"STM32F042C6T6";;;
9;"C1,C2,C4,C5,C6";"C_0805_HandSoldering";5;"0.1uF";;;
10;"C3";"C_0805_HandSoldering";1;"1uF";;;
11;"C7";"C_0805_HandSoldering";1;"100nF";;;
12;"C8";"C_0805_HandSoldering";1;"10uF";;;
13;"F1";"C_0805_HandSoldering";1;"Polyfuse";;;
14;"JP1,JP2";"Pin_Header_Straight_1x03_Pitch2.54mm";2;"Jumper_NC_Dual";;;
15;"R1";"R_0805_HandSoldering";1;"120";;;
16;"R2";"R_0805_HandSoldering";1;"10k";;;
17;"R3,R4";"R_0805_HandSoldering";2;"R";;;
18;"P1";"Pin_Header_Straight_1x05_Pitch2.54mm";1;"SWD";;;
19;"U2";"SOIC-8_3.9x4.9mm_Pitch1.27mm";1;"MCP2562-E/SN";;;
